minority,age,female,onecredit,beauty,course_eval,intro,nnenglish
0,52,1,0,-1.090389,4.3,0,0
0,64,0,0,-1.069162,3.7,0,0
0,50,0,0,1.415695,4.2,0,0
0,60,0,0,-1.422919,2.2,0,0
0,51,1,0,0.3918222,3,0,0
0,43,0,0,-0.4899626,4.3,1,0
1,50,0,1,-0.5835869,4.6,1,0
0,52,0,0,0.7566829,3.5,0,0
0,51,0,0,0.8808186,4.6,1,0
0,38,0,0,-0.5665014,3.7,1,0
0,47,1,0,0.3394037,3.8,1,0
1,43,1,0,-0.1513687,3.6,1,0
0,38,1,0,-1.024997,4.4,1,0
0,43,0,0,-0.0252444,4.1,1,0
0,57,0,0,-0.7467875,4.3,0,0
0,51,1,0,0.9889485,4,0,0
0,45,0,1,-0.5324199,4.8,1,0
0,57,0,0,-0.7668921,3.5,1,0
0,47,1,0,1.154256,3.6,1,0
1,54,1,0,1.232602,3.8,1,0
0,58,0,0,1.774334,4.7,1,0
0,42,0,0,1.773151,4.9,1,0
0,33,0,0,0.7245926,4.3,1,0
0,62,0,0,-1.181626,3.3,1,0
1,35,1,0,1.769452,3.4,1,0
0,61,0,0,-0.5872612,3.6,1,0
0,52,1,0,-0.0018324,4,1,0
0,60,1,0,-0.0566766,3.9,0,1
0,32,0,0,1.231394,4.3,1,0
1,42,1,0,0.4203998,3.3,0,1
1,36,1,0,0.2899157,3.7,0,0
1,36,1,0,0.2899157,3.6,0,0
1,36,1,0,0.2899157,4.4,0,0
0,59,0,0,-0.7377322,4,0,0
0,59,0,0,-0.7377322,2.1,0,0
0,51,0,0,-0.5719836,3.2,0,0
0,40,1,0,-0.6779634,3.5,0,0
0,40,1,0,-0.6779634,4.1,0,0
0,40,1,0,-0.6779634,4.6,0,0
0,40,1,0,-0.6779634,3.8,0,0
0,40,1,0,-0.6779634,3.8,0,0
0,40,1,0,-0.6779634,3.8,0,0
0,40,1,0,-0.6779634,4.2,0,0
0,31,1,0,1.509794,3.9,0,0
0,31,1,0,1.509794,4.5,0,0
0,31,1,0,1.509794,4.5,0,0
0,31,1,0,1.509794,4.4,0,0
0,31,1,0,1.509794,4.4,0,0
0,62,0,0,0.5885687,4.4,0,0
0,62,0,0,0.5885687,4.5,0,0
0,62,0,0,0.5885687,4.3,0,0
0,62,0,0,0.5885687,4.6,0,0
0,62,0,0,0.5885687,4.8,0,0
0,62,0,0,0.5885687,4.3,0,0
0,33,1,0,-0.126001,4,0,0
0,33,1,0,-0.126001,4,0,0
0,33,1,0,-0.126001,3.9,0,0
0,33,1,0,-0.126001,3.3,0,0
0,51,1,0,-0.2581899,4.5,0,0
0,51,1,0,-0.2581899,4.5,0,0
0,51,1,0,-0.2581899,4.5,0,0
0,51,1,0,-0.2581899,2.5,1,0
0,51,1,0,-0.2581899,4.3,0,0
0,51,1,0,-0.2581899,4.5,0,0
0,33,1,0,0.1496926,4.7,0,0
0,33,1,0,0.1496926,3.5,0,0
0,33,1,0,0.1496926,4.5,0,0
0,33,1,0,0.1496926,3.8,0,0
0,33,1,0,0.1496926,4.5,0,0
0,33,1,0,0.1496926,4.3,0,0
0,47,0,0,0.540917,3.9,0,0
0,47,0,0,0.540917,4.3,0,0
0,47,0,0,0.540917,4.2,0,0
0,47,0,0,0.540917,5,1,0
0,47,0,0,0.540917,5,1,0
0,47,0,0,0.540917,4.6,0,0
0,47,0,0,0.540917,5,1,0
0,47,0,0,0.540917,4.7,0,0
0,47,0,0,0.540917,5,1,0
1,35,0,0,0.2316134,2.7,0,1
1,35,0,0,0.2316134,4,0,1
0,37,0,0,-0.0666737,4.4,0,0
0,37,0,0,-0.0666737,4.4,0,0
0,37,0,0,-0.0666737,4.3,0,0
0,37,0,0,-0.0666737,3.5,0,0
0,42,0,0,0.2168924,3.8,0,0
0,42,0,0,0.2168924,3.9,0,0
0,42,0,0,0.2168924,3.7,0,0
0,42,0,0,0.2168924,3.3,0,0
0,42,0,0,0.2168924,4,0,0
0,42,0,0,0.2168924,3.8,0,0
0,49,0,0,-0.2586962,4.2,0,1
0,49,0,0,-0.2586962,3.1,0,1
0,49,0,0,-0.2586962,3.6,0,1
0,37,1,0,0.5502878,3.3,0,0
0,37,1,0,0.5502878,2.9,0,0
0,37,1,0,0.5502878,3.1,0,0
0,45,0,0,-0.0620358,4,1,0
0,45,0,0,-0.0620358,4,1,0
0,45,0,0,-0.0620358,4.2,0,0
0,45,0,0,-0.0620358,3.8,0,0
0,45,0,0,-0.0620358,4.3,1,0
0,56,1,0,-0.9823852,4.6,0,0
0,56,1,0,-0.9823852,4.3,0,0
0,56,1,0,-0.9823852,3.6,0,0
0,56,1,0,-0.9823852,4.2,0,0
0,48,0,0,-0.054344,3.9,0,0
0,48,0,0,-0.054344,4.1,0,0
0,48,0,0,-0.054344,4,1,0
0,48,0,0,-0.054344,4.3,1,0
0,48,0,0,-0.054344,3.9,0,0
0,48,0,0,-0.054344,4.2,1,0
0,48,0,0,-0.054344,4.2,1,0
0,46,1,0,-0.0680143,4.9,1,0
0,46,1,0,-0.0680143,4,0,0
0,46,1,0,-0.0680143,4.3,0,0
0,46,1,0,-0.0680143,4.9,0,0
0,46,1,0,-0.0680143,3.9,0,0
0,46,1,0,-0.0680143,4.9,1,0
0,46,1,0,-0.0680143,3.9,0,0
0,46,1,0,-0.0680143,4,1,0
0,57,1,0,0.0294137,3.5,0,0
0,57,1,0,0.0294137,3.9,0,0
0,57,1,0,0.0294137,4,0,0
0,57,1,0,0.0294137,3.6,0,0
0,57,1,0,0.0294137,3,0,0
0,57,1,0,0.0294137,3,0,0
0,57,1,0,0.0294137,3.6,0,0
0,57,1,0,0.0294137,3.6,0,0
0,57,1,0,0.0294137,3.2,0,0
0,52,1,0,0.2394859,3.9,0,0
0,52,1,0,0.2394859,3.5,0,0
0,52,1,0,0.2394859,3.5,0,0
0,52,1,1,0.2394859,3.1,0,0
0,52,1,0,0.2394859,4.2,0,0
0,62,0,0,-0.7330914,3.6,1,0
0,62,0,0,-0.7330914,4.5,0,0
0,62,0,0,-0.7330914,3.7,1,0
0,62,0,0,-0.7330914,3.4,1,0
0,64,0,0,-0.1111221,4.5,0,0
0,64,0,0,-0.1111221,4.6,0,0
0,64,0,0,-0.1111221,4.8,0,0
0,64,0,0,-0.1111221,4.5,0,0
0,64,0,0,-0.1111221,4.4,0,0
0,64,0,0,-0.1111221,4.1,0,0
0,34,1,0,1.775517,3.9,0,0
0,58,0,0,-0.3218485,4.3,0,0
0,58,0,0,-0.3218485,3.5,1,0
0,58,0,0,-0.3218485,4,0,0
0,58,0,0,-0.3218485,4,1,0
1,52,0,0,0.2116939,4.6,0,1
1,52,0,0,0.2116939,4.6,0,1
1,52,0,0,0.2116939,3.7,0,1
1,52,0,0,0.2116939,3.5,0,1
1,52,0,0,0.2116939,3.6,0,1
1,52,0,0,0.2116939,3.9,0,1
0,73,0,0,-0.717645,4.2,0,0
0,73,0,0,-0.717645,3.2,0,0
0,73,0,0,-0.717645,4.9,0,0
0,70,0,0,-0.7326927,4,0,0
0,70,0,0,-0.7326927,3.5,0,0
0,70,0,0,-0.7326927,3.4,0,0
0,63,0,0,-0.0102077,4.2,0,0
0,63,0,0,-0.0102077,3.5,0,0
0,63,0,0,-0.0102077,4.4,0,0
0,63,0,0,-0.0102077,3.7,0,0
0,63,0,0,-0.0102077,3.4,0,0
0,63,0,0,-0.0102077,3,0,0
0,47,0,0,-0.923957,3.9,0,0
0,47,0,0,-0.923957,2.8,0,0
0,39,0,0,0.5766805,3.7,1,0
0,39,0,0,0.5766805,4.6,0,0
0,39,0,0,0.5766805,4.2,0,0
0,39,0,0,0.5766805,4.4,0,0
1,47,1,0,-0.0836015,3.8,0,0
1,47,1,1,-0.0836015,4.1,1,0
1,47,1,0,-0.0836015,3.7,1,0
1,47,1,0,-0.0836015,4.1,0,0
1,47,1,0,-0.0836015,3,1,0
1,47,1,0,-0.0836015,3.2,1,0
1,47,1,0,-0.0836015,2.8,1,0
1,47,1,1,-0.0836015,4.7,1,0
1,47,1,0,-0.0836015,4.2,1,0
1,47,1,0,-0.0836015,3.2,1,0
1,47,1,0,-0.0836015,3.1,1,0
1,47,1,0,-0.0836015,4,1,0
0,54,0,0,-1.079558,4.2,0,0
0,54,0,0,-1.079558,4.3,0,0
1,44,1,0,1.040902,3.3,0,0
1,44,1,0,1.040902,4.1,0,0
1,44,1,0,1.040902,3.7,0,0
1,47,0,0,-1.052108,3.3,0,0
1,47,0,0,-1.052108,3.8,0,0
1,47,0,0,-1.052108,3.4,0,0
1,47,0,0,-1.052108,4.2,0,0
1,47,0,0,-1.052108,3.8,0,0
1,47,0,0,-1.052108,3.5,0,0
1,47,0,0,-1.052108,3.3,0,0
0,62,0,0,-0.7277681,4.3,0,0
0,62,0,0,-0.7277681,4.1,0,0
0,60,0,0,-0.3953965,4.5,0,0
0,60,0,0,-0.3953965,4.5,0,0
0,60,0,0,-0.3953965,4.6,0,0
0,60,0,0,-0.3953965,4.4,0,0
0,60,0,0,-0.3953965,4.1,0,0
0,60,0,0,-0.3953965,4.5,0,0
0,60,0,0,-0.3953965,4.3,1,0
0,42,0,0,-0.2377786,4.4,0,0
0,42,0,0,-0.2377786,4.9,0,0
0,42,0,0,-0.2377786,4.7,0,0
0,42,0,0,-0.2377786,4.6,0,0
0,35,0,0,0.274908,4.8,1,0
0,35,0,0,0.274908,4.2,0,0
0,35,0,0,0.274908,4.6,1,0
0,39,1,0,1.970023,4.7,0,0
0,39,1,0,1.970023,4.6,0,0
0,39,1,0,1.970023,3.6,1,0
0,49,0,0,1.05095,3.9,0,0
0,49,0,0,1.05095,4,0,0
0,61,0,0,0.2418185,4.4,0,0
0,61,0,0,0.2418185,4.5,1,0
0,61,0,0,0.2418185,4.4,0,0
0,33,0,0,1.349395,3,0,0
0,33,0,0,1.349395,3.7,0,0
0,56,1,0,-0.2577254,3.6,0,0
0,56,1,0,-0.2577254,3.1,0,0
0,50,1,1,-0.6562689,3.8,1,0
0,50,1,1,-0.6562689,4.7,1,0
0,50,1,0,-0.6562689,3.8,0,0
0,50,1,0,-0.6562689,3.8,0,0
0,50,1,0,-0.6562689,2.8,0,0
0,50,1,0,-0.6562689,4,0,0
0,52,0,0,-0.6563948,4,0,0
0,52,0,0,-0.6563948,3.5,0,0
0,52,0,0,-0.6563948,3.4,0,0
0,52,0,0,-0.6563948,4,0,0
0,52,0,0,-0.6563948,3.5,0,0
0,52,0,0,-0.6563948,3.8,0,0
0,52,0,0,-0.6563948,4.7,0,0
0,52,0,0,-0.6563948,3.9,0,0
0,52,0,0,-0.6563948,4.5,0,0
0,52,0,0,-0.6563948,4.2,0,0
0,52,0,0,-0.6563948,4.7,0,0
0,52,0,0,-0.6563948,4,0,0
0,33,1,0,0.7244775,4.8,0,0
0,33,1,0,0.7244775,4.8,0,0
0,33,1,0,0.7244775,4.4,0,0
0,33,1,0,0.7244775,4.7,0,0
0,33,1,0,0.7244775,4.5,0,0
0,57,0,0,0.6318343,4.2,0,0
0,57,0,0,0.6318343,4.4,0,0
0,57,0,0,0.6318343,4.1,0,0
0,38,1,0,1.070944,4.2,1,0
0,38,1,0,1.070944,4.8,0,0
0,38,1,0,1.070944,4.4,0,0
0,38,1,0,1.070944,4.7,0,0
0,38,1,0,1.070944,4.2,1,0
0,38,1,0,1.070944,4.5,0,0
0,34,1,0,-1.450494,3.4,1,0
0,34,1,0,-1.450494,3.7,1,0
0,34,1,0,-1.450494,3.6,0,0
0,34,1,0,-1.450494,3.9,0,0
0,34,1,0,-1.450494,3.9,0,0
0,34,0,0,1.15588,3.7,0,0
0,34,0,0,1.15588,3,1,0
0,32,0,0,-0.3260148,3.6,1,0
0,32,0,0,-0.3260148,3.6,1,0
0,32,0,0,-0.3260148,4.3,0,0
0,32,0,0,-0.3260148,4.5,0,0
0,42,1,0,0.8846435,3.9,0,0
0,43,1,0,-0.5583452,4.6,0,0
0,43,1,0,-0.5583452,4.1,1,0
0,43,1,0,-0.5583452,4.2,1,0
0,43,1,0,-0.5583452,4.1,1,0
0,43,1,0,-0.5583452,3.1,1,0
0,43,1,0,-0.5583452,3.6,1,0
0,43,1,0,-0.5583452,4.2,0,0
0,43,1,0,-0.5583452,3,1,0
0,43,1,0,-0.5583452,4.2,0,0
0,35,0,0,-0.3415543,3.4,1,1
0,62,1,0,-0.5040575,3.1,0,0
0,62,1,0,-0.5040575,2.7,0,0
0,52,1,0,0.773524,3.9,0,0
0,52,1,0,1.063938,3.9,0,0
0,52,1,0,1.063938,3.6,0,0
0,52,1,0,-1.090389,3.7,0,0
0,52,1,0,-1.090389,3.6,0,0
0,52,1,0,-1.090389,4.4,0,0
0,52,1,0,-1.090389,4.3,0,0
0,52,1,0,-1.090389,4.1,0,0
0,52,1,0,-1.090389,3.7,0,0
0,64,0,0,-1.069162,3.6,0,0
0,64,0,0,-1.069162,2.8,0,0
0,64,0,0,-1.069162,4,0,0
0,64,0,0,-1.069162,4.4,0,0
0,64,0,0,-1.069162,3.6,0,0
0,50,0,0,1.415695,3.7,0,0
0,60,0,0,-1.422919,2.9,0,0
0,60,0,0,-1.422919,2.6,0,0
0,43,0,1,-0.4899626,4.8,1,0
0,43,0,1,-0.4899626,4.9,1,0
0,43,0,0,-0.4899626,4.3,1,0
0,43,0,0,-0.4899626,4.4,1,0
0,43,0,1,-0.4899626,4.3,1,0
0,43,0,1,-0.4899626,4.7,1,0
0,43,0,1,-0.4899626,4.3,1,0
0,43,0,0,-0.4899626,4.6,1,0
1,50,0,1,-0.5835869,4.9,1,0
1,50,0,1,-0.5835869,4.8,1,0
1,50,0,1,-0.5835869,4.7,1,0
1,50,0,1,-0.5835869,4.8,1,0
1,50,0,1,-0.5835869,4.9,1,0
1,50,0,1,-0.5835869,4.8,1,0
1,50,0,1,-0.5835869,4.8,1,0
1,50,0,1,-0.5835869,5,1,0
1,50,0,1,-0.5835869,4.5,1,0
0,52,0,0,0.7566829,3.8,0,0
0,52,0,0,0.7566829,3.8,0,0
0,52,0,0,0.7566829,3.8,0,0
0,52,0,0,0.7566829,4,0,0
0,52,0,0,0.7566829,4.2,0,0
0,51,0,0,0.8808186,4.5,1,0
0,51,0,0,0.8808186,4.5,1,0
0,51,0,0,0.8808186,4.6,1,0
0,51,0,0,0.8808186,4.7,1,0
0,38,0,0,-0.5665014,4.1,1,0
0,38,0,0,-0.5665014,3.6,1,0
0,38,0,0,-0.5665014,4,1,0
0,47,1,0,0.3394037,3.4,1,0
1,43,1,0,-0.1513687,2.8,1,0
0,38,1,0,-1.024997,4.1,1,0
0,38,1,0,-1.024997,3.5,1,0
0,38,1,0,-1.024997,3.4,1,0
0,38,1,0,-1.024997,4.1,1,0
0,38,1,0,-1.024997,4.2,1,0
0,43,0,0,-0.0252444,4.3,1,0
0,43,0,0,-0.0252444,4.1,0,0
0,43,0,0,-0.0252444,3.4,0,0
0,57,0,0,-0.7467875,3.5,0,0
0,57,0,0,-0.7467875,3.6,0,0
0,51,1,0,0.9889485,3.7,0,0
0,51,1,0,0.9889485,3,0,0
0,51,1,0,0.9889485,4.6,0,0
0,45,0,1,-0.5324199,4,1,0
0,45,0,0,-0.5324199,4.8,1,0
0,45,0,1,-0.5324199,4.6,1,0
0,57,0,0,-0.7668921,3.4,1,0
0,57,0,0,-0.7668921,4.4,1,0
0,57,0,0,-0.7668921,3.6,1,0
0,57,0,0,-0.7668921,3.8,1,0
0,57,0,0,-0.7668921,3.7,1,0
0,57,0,0,-0.7668921,4.7,1,0
0,57,0,0,-0.7668921,4.5,1,0
0,57,0,0,-0.7668921,5,0,0
0,57,0,0,-0.7668921,3.8,1,0
0,57,0,0,-0.7668921,4.1,1,0
0,47,1,1,1.154256,4.3,1,0
0,47,1,1,1.154256,4.4,1,0
0,47,1,1,1.154256,4.7,1,0
0,47,1,0,1.154256,3.9,1,0
1,54,1,0,1.232602,4.8,1,0
1,54,1,0,1.232602,4.3,1,0
1,54,1,0,1.232602,4.6,1,0
1,54,1,0,1.232602,3.8,1,0
0,58,0,0,1.774334,5,1,0
0,58,0,0,1.774334,4.9,1,0
0,58,0,0,1.774334,4.6,1,0
0,58,0,0,1.774334,4.6,1,0
0,58,0,0,1.774334,5,1,0
0,58,0,0,1.774334,4.6,1,0
0,58,0,0,1.774334,4.9,1,0
0,42,0,0,1.773151,4,1,0
0,42,0,0,1.773151,3.9,0,0
0,33,0,0,0.7245926,4.1,1,0
0,62,0,0,-1.181626,2.9,1,0
0,62,0,0,-1.181626,2.8,1,0
0,62,0,0,-1.181626,2.8,1,0
0,62,0,0,-1.181626,4,0,0
0,62,0,0,-1.181626,3.3,1,0
0,62,0,0,-1.181626,3,1,0
1,35,1,0,1.769452,3.6,1,0
1,35,1,0,1.769452,3.8,1,0
0,61,0,0,-0.5872612,3.9,1,0
0,52,1,0,-0.0018324,4.7,1,0
0,52,1,0,-0.0018324,4.7,1,0
0,60,1,0,-0.0566766,3.9,0,1
0,60,1,0,-0.0566766,4.4,0,1
0,60,1,0,-0.0566766,3.6,0,1
0,60,1,0,-0.0566766,4.2,0,1
0,60,1,0,-0.0566766,3.4,0,1
0,60,1,0,-0.0566766,4,0,1
0,32,0,0,1.231394,4.2,1,0
0,32,0,0,1.231394,4.4,0,0
0,32,0,0,1.231394,4.5,1,0
0,32,0,0,1.231394,3.2,1,0
0,32,0,0,1.231394,4.3,0,0
1,42,1,0,0.4203998,3.3,0,1
1,42,1,0,0.4203998,3.2,0,1
1,42,1,1,0.4203998,4.1,1,1
